Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,1.7748607,-1.0219019585992117,31.705882352941178,-0.2417579,0.1271233,-1.0218163955407065,0.006642083795674405,0.05155437,0.10051538,0.00029984655,0.048922446,1.7793124
20000,1.737297,-1.0436396366320886,43.608108108108105,-0.72279173,0.08979934,-1.0435360391531978,0.010961255813870937,0.0068172924,0.09884668,0.00029957012,0.022965595,1.7401336
30000,1.6646148,-1.023212117106287,59.448484848484846,-0.6931908,0.06445251,-1.0226524439526767,0.024981560707956527,0.011120494,0.10247209,0.00029926136,0.032775186,1.6447035
40000,1.6444213,-1.0421168788717212,61.45454545454545,-0.69509184,0.04531499,-1.0425612958208208,0.024083256385206517,0.008256704,0.09904129,0.00029895073,0.030205559,1.6096678
50000,1.6167017,-1.0693172366021138,69.13793103448276,-0.66103965,0.03918067,-1.0694068972406716,0.03648287286301513,0.0061878865,0.09143497,0.00029863746,0.04390969,1.5692006
60000,1.561277,-1.0625999956857413,62.475,-0.6777052,0.04824081,-1.0625812564045192,0.04464549662170612,0.0059347674,0.10152515,0.00029832748,0.05280775,1.5255258
70000,1.5110875,-1.074303273567701,74.10655737704919,-0.6253117,0.064069636,-1.0745164009391284,0.11876941604857509,0.0065468913,0.10403884,0.00029804773,0.15313834,1.4108075
80000,1.455406,-1.0764875980344224,76.21487603305785,-0.61697376,0.20173173,-1.076180325057663,0.3278409335032281,0.0068503493,0.105536364,0.00029776772,0.34139493,1.0199349
90000,1.4170884,-1.0883388368870817,88.0,-0.62990284,0.2831981,-1.0881000040719906,0.2887554119108245,0.006342723,0.10346168,0.00029745902,0.26829287,0.8005781
100000,1.3981295,-1.057237282438772,82.41525423728814,-0.6249356,0.28798845,-1.0577395036190498,0.2468947798816855,0.008561982,0.09911744,0.0002971519,0.25017205,0.71935636
110000,1.3884686,-1.0839649064940189,83.67543859649123,-0.5872911,0.28919354,-1.0844601781758587,0.22492393767883573,0.0071117766,0.1012226,0.0002968375,0.22466215,0.7675463
120000,1.3625998,-1.0796696373664807,79.41071428571429,-0.63133985,0.2863446,-1.0792123916666065,0.19555783922891173,0.0058041997,0.09567519,0.0002965271,0.20641688,0.6464772
130000,1.3519377,-1.042693870389188,103.48979591836735,-0.60551745,0.2693548,-1.0426938859175663,0.24110968313025483,0.01194172,0.09617816,0.00029624853,0.19336541,0.6567584
140000,1.2232596,-1.1025442967303334,102.0886075949367,-0.57775867,0.25177115,-1.1025443144991427,0.21607252501785354,0.005179807,0.09576762,0.00029596692,0.16462365,0.55585235
150000,1.2341758,-1.1411538364258236,140.43589743589743,-0.5525237,0.22730204,-1.1411538536732013,0.3002673534587629,0.0061125006,0.096395254,0.00029565318,0.1661654,0.48653927
160000,1.2396935,-1.1040504978795658,103.57575757575758,-0.556944,0.21731807,-1.1040505100079256,0.19797468804777835,0.0068373107,0.0967314,0.00029534145,0.16350886,0.49259472
170000,1.2685724,-1.072576463154024,107.38823529411765,-0.5331849,0.20457982,-1.0722857172645273,0.202183506681606,0.008940051,0.09455603,0.00029502687,0.15598734,0.52669847
180000,1.2887306,-1.0877310863907348,87.36974789915966,-0.58642143,0.20038602,-1.0878083354483048,0.16417926630189564,0.007854018,0.09869922,0.0002947452,0.15188895,0.59437084
190000,1.2332828,-1.1264374912861967,125.8375,-0.5223381,0.20342813,-1.1272658366191237,0.24062891610414733,0.0066285953,0.097827,0.00029446447,0.15434153,0.54782534
200000,1.307508,-1.0826593326906173,115.0989010989011,-0.55989236,0.18590343,-1.0824239215125209,0.1846471523534527,0.008163855,0.10330806,0.00029415352,0.13812467,0.5455848
210000,1.2782958,-1.0720677881391119,122.37288135593221,-0.50764847,0.17779149,-1.0720678022352315,0.1802382638709525,0.0075080083,0.09754539,0.00029383795,0.13330743,0.53751826
220000,1.2623278,-1.1131025536570889,150.73076923076923,-0.49355602,0.1521681,-1.1131025718954892,0.24262017820784912,0.010571903,0.09775853,0.00029355302,0.13720816,0.51147056
230000,1.2150677,-1.1564827478362312,155.67241379310346,-0.46374094,0.14840423,-1.156482762560762,0.258958352603227,0.005628068,0.09884741,0.0002932697,0.13264497,0.5339023
240000,1.1944814,-1.1399821332098716,139.30357142857142,-0.47390515,0.15072401,-1.1381454649296674,0.20574452494990758,0.0056760833,0.0971449,0.00029295578,0.14145449,0.43611312
250000,1.2321368,-1.1278637573063928,155.9855072463768,-0.45106012,0.16949835,-1.1294800142092365,0.2647031211477172,0.006771993,0.097086854,0.00029264283,0.13732588,0.43514562
260000,1.2381775,-1.1227701056893145,133.5287356321839,-0.43603307,0.17961186,-1.122770120957117,0.20921094065342077,0.007991554,0.095972225,0.0002923286,0.12847653,0.46812257
270000,1.2106975,-1.138133323813478,137.41333333333333,-0.49091098,0.16250283,-1.138527032894057,0.19502254734854088,0.0062682605,0.105176784,0.00029204885,0.1182003,0.48399574
280000,1.2119398,-1.0960657801325924,134.81578947368422,-0.5214633,0.16471711,-1.0962337690901447,0.19599279152099405,0.0074133,0.09922722,0.00029176395,0.12329924,0.4866043
290000,1.2132542,-1.0858095154343617,120.92857142857143,-0.51412755,0.17182682,-1.0858095313111942,0.177060206331849,0.008565187,0.10267303,0.00029145458,0.11657661,0.5654013
300000,1.2050681,-1.0970789406779466,96.65789473684211,-0.52449065,0.1718245,-1.0980800104141235,0.13404866392724216,0.005653942,0.10478407,0.00029114154,0.109556854,0.53766966
310000,1.2177216,-1.0422210453690863,104.90526315789474,-0.5533119,0.15800215,-1.0420104207781453,0.13756932726028026,0.012334605,0.09605894,0.00029085943,0.105406,0.61001277
320000,1.1938796,-1.1237812414692598,123.17708333333333,-0.51726675,0.15880814,-1.123781252341966,0.17182616077722437,0.005925132,0.10259358,0.00029057285,0.12001608,0.5171268
330000,1.1973039,-1.0855569535117786,122.9367088607595,-0.541986,0.15818922,-1.085556961501701,0.15055154732287024,0.008000897,0.10471533,0.00029026024,0.10882215,0.59196365
340000,1.1709058,-1.099474352118798,99.02564102564102,-0.5889407,0.13466823,-1.0994743668498137,0.1365379771993433,0.0045196246,0.101672865,0.00028994834,0.10291161,0.5767113
350000,1.1413237,-1.1447277668464975,157.73611111111111,-0.528578,0.13305286,-1.1447277818289068,0.20829455469356617,0.004684589,0.1023135,0.0002896286,0.113373116,0.5270789
360000,1.1336423,-1.120754920284782,134.09859154929578,-0.50864065,0.13674583,-1.120754930964658,0.16961418512657706,0.0049861996,0.09593582,0.00028934114,0.11076069,0.46808577
370000,1.098504,-1.1042837738027997,144.02702702702703,-0.5045766,0.14031106,-1.103328771378896,0.18356920284065992,0.0056654494,0.101556614,0.00028905665,0.1058108,0.45303512
380000,1.0988094,-1.031723278876847,126.95890410958904,-0.46368554,0.13650572,-1.033645949855044,0.1553936994481577,0.0120374765,0.099317186,0.0002887476,0.10533865,0.41746774
390000,1.1087806,-1.1479864293111042,164.01694915254237,-0.4470637,0.14272489,-1.1479864517005824,0.23030998261292243,0.0052148607,0.09576187,0.00028843468,0.1066457,0.4482831
400000,1.0696919,-1.1504603070909127,149.61904761904762,-0.45971012,0.14119984,-1.1504603234075366,0.18818351766556532,0.005470678,0.1004216,0.00028815155,0.110327706,0.4725291
410000,1.0336413,-1.10326273257641,180.68627450980392,-0.39085048,0.14005429,-1.1032627581381331,0.2453267752100467,0.007252543,0.09518727,0.00028787024,0.1022521,0.35636538
420000,1.0705869,-1.1576973575528857,156.78947368421052,-0.4631185,0.14772236,-1.1464800043900807,0.20082377452597333,0.005812712,0.0975364,0.00028755394,0.11534747,0.36552
430000,0.9652596,-1.1767124856687587,206.78125,-0.46038264,0.14260262,-1.2016303182551356,0.29787406640367187,0.0034333789,0.095457464,0.00028724346,0.100599565,0.36862817
440000,0.9833802,-1.0699729569747138,230.72972972972974,-0.3971231,0.13275051,-1.0449166807035606,0.27915109970167074,0.007189212,0.10402813,0.00028692954,0.102166116,0.31855124
450000,0.93944514,-1.1451828392613346,257.77142857142854,-0.34746212,0.13169098,-1.1681500172449484,0.36586398447010043,0.006617558,0.099270515,0.00028664744,0.096867755,0.27391103
460000,0.9414639,-1.241585345843327,288.4146341463415,-0.34209543,0.1222987,-1.2412750221788884,0.3204953365646361,0.004193192,0.09973616,0.00028636478,0.08319091,0.22765788
470000,0.9206916,-1.3124384373558524,348.6923076923077,-0.31709552,0.12006193,-1.310274092687501,0.39330441901391305,0.0034473739,0.096298255,0.00028604892,0.09180552,0.2652553
480000,0.952731,-1.21465880468296,271.70588235294116,-0.3151828,0.11964446,-1.2146588463117094,0.29835054233177183,0.0035607913,0.102622114,0.000285736,0.08718251,0.25340778
490000,0.9109292,-1.3105944211250364,336.19444444444446,-0.32531026,0.11825233,-1.29146859730993,0.3577311480550894,0.00418912,0.09921666,0.00028545447,0.08935521,0.23414737
500000,0.88742274,-1.0934515953483623,253.1290322580645,-0.30668446,0.11504287,-1.1211562640964985,0.3164504052037955,0.0055452166,0.093676165,0.0002851757,0.08322772,0.21603546
510000,0.9263284,-1.2098256194973753,310.35897435897436,-0.32471278,0.11380901,-1.2098256626572363,0.31017192429564416,0.0042071645,0.098489046,0.00028486626,0.08323816,0.17878237
